序号,排名,综合评价,资助金额
1597,1,0.9761,2987.360993
2914,2,0.9389,2645.417674
2852,3,0.9321,2582.91195
4410,4,0.9228,2497.426328
921,5,0.9222,2491.911019
2033,6,0.9218,2488.234285
4469,7,0.8916,2210.635263
5365,8,0.8844,2144.452806
4342,9,0.8807,2110.44229
809,10,0.8783,2088.38147
2961,11,0.8725,2035.067375
2741,12,0.869,2002.895433
5188,13,0.8623,1941.30879
3270,14,0.8621,1939.47063
569,15,0.861,1929.359507
3061,16,0.8608,1927.520933
3407,17,0.8562,1885.237454
3452,18,0.8549,1873.288172
3736,19,0.8457,1788.721215
4419,20,0.8425,1759.306928
2063,21,0.8326,1668.305996
3196,22,0.8265,1612.234661
2836,23,0.826,1607.638433
1105,24,0.8223,1573.627917
1007,25,0.82,1552.486592
2615,26,0.8184,1537.779241
2806,27,0.8165,1520.314236
841,28,0.8144,1501.011071
3738,29,0.813,1488.142294
4345,30,0.8062,1425.636571
1383,31,0.8025,1391.626055
2711,32,0.7958,1330.039411
433,33,0.7916,1291.433081
4204,34,0.7888,1265.695528
8,35,0.7848,1228.927357
974,36,0.7792,1177.451836
2984,37,0.7723,1114.027033
5160,38,0.7721,1112.188459
205,39,0.7696,1089.208559
4329,40,0.7688,1081.855091
404,41,0.7632,1030.37957
2981,42,0.7614,1013.834059
2503,43,0.7593,994.5308943
2834,44,0.7558,962.3585381
104,45,0.7538,943.974453
4435,46,0.7524,931.1056763
4036,47,0.752,927.4289422
4950,48,0.7519,926.5098623
741,49,0.7505,913.6410857
483,50,0.7463,875.0343411
2353,51,0.7456,868.5999528
92,52,0.7438,852.054442
216,53,0.7401,818.043926
3149,54,0.7357,777.5990217
4114,55,0.7341,762.8916707
1784,56,0.7336,758.2958567
4374,57,0.7321,744.5075856
1091,58,0.732,743.5885058
2075,59,0.73,725.2044207
5403,60,0.7281,707.73983
1305,61,0.7257,685.6790108
2426,62,0.7257,685.6790108
1236,63,0.7249,678.325128
2496,64,0.7243,672.8098196
581,65,0.7226,657.1833887
900,66,0.7194,627.7691013
3133,67,0.719,624.0923672
4376,68,0.7185,619.4961386
4211,69,0.7179,613.9812447
116,70,0.7162,598.3548138
2551,71,0.7141,579.0512343
4208,72,0.7121,560.6671492
58,73,0.7109,549.6369469
745,74,0.7098,539.5258244
3145,75,0.7095,536.7681702
1261,76,0.7094,535.8490903
2596,77,0.7089,531.2528618
3735,78,0.7079,522.0608192
3765,79,0.7061,505.5153084
4251,80,0.7055,500
